lastName      , firstName      , {address                                                 }, {mobil       }, {phone       }, {email                             }, {region}
Andreason     , Tasia          , {Robert A               ,   NJ     4 Cowesett Ave        }, {            }, {201-920-9002}, {                                  }, {Nordwest}
Angalich      , Ahmed          , {2 W Beverly Blvd       ,   17110  Harrisburg            }, {717-528-8996}, {717-632-5831}, {ahmed.angalich@angalich.com       }, {Nordwest}
Ankeny        , Thaddeus       , {5 Washington St 1      ,   95678  Roseville             }, {916-920-3571}, {916-459-2433}, {tankeny@ankeny.org                }, {West}
Arceo         , Tegan          , {62260 Park Stre        ,   8831   Monroe Township       }, {732-730-2692}, {732-705-6719}, {tegan.arceo@arceo.org             }, {Ost}
Asar          , Loren          , {6 Ridgewood Center Dr  ,   18518  Old Forge             }, {570-648-3035}, {570-569-2356}, {loren.asar@aol.com                }, {West}
Auber         , Lynelle        , {32820 Corkwood Rd      ,   7104   Newark                }, {973-860-8610}, {            }, {lynelle_auber@gmail.com           }, {Süd}
Berlanga      , Vilma          , {D Fred Esq             ,   MI     79 S Howell Ave       }, {            }, {616-737-3085}, {                                  }, {West}
Biddy         , Jani           , {61556 W 20th Ave       ,   98104  Seattle               }, {206-711-6498}, {            }, {jbiddy@yahoo.com                  }, {Ost}
Bookamer      , Flo            , {89992 E 15th St        ,   69301  Alliance              }, {308-726-2182}, {308-250-6987}, {flo.bookamer@cox.net              }, {West}
Borgman       , Keneth         , {86350 Roszel Rd        ,   85012  Phoenix               }, {602-919-4211}, {602-442-3092}, {keneth@yahoo.com                  }, {Süd}
Boulter       , Carlee         , {Troy M Ii              ,   KS     8284 Hart St          }, {            }, {785-347-1805}, {                                  }, {Nordost}
Bourbon       , Sharen         , {John A Esq             ,   NY     62 W Austin St        }, {            }, {516-816-1541}, {                                  }, {Süd}
Breland       , Joni           , {35 E Main St 43        ,   60007  Elk Grove Village     }, {847-519-5906}, {847-740-5304}, {joni_breland@cox.net              }, {Süd}
Castros       , Annmarie       , {80312 W 32nd St        ,   77301  Conroe                }, {936-751-7961}, {            }, {annmarie_castros@gmail.com        }, {Nordwest}
Chaffins      , Jess           , {18 3rd Ave             ,   10016  New York              }, {212-510-4633}, {212-428-9538}, {jess.chaffins@chaffins.org        }, {Nordwest}
Chavous       , Roslyn         , {James L                ,   MS     63517 Dupont St       }, {            }, {601-234-9632}, {                                  }, {Ost}
Chesterfield  , Dorothy        , {469 Outwater Ln        ,   92126  San Diego             }, {858-617-7834}, {            }, {dorothy@cox.net                   }, {Ost}
Claucherty    , Jeanice        , {19 Amboy Ave           ,   33142  Miami                 }, {305-988-4162}, {            }, {jeanice.claucherty@yahoo.com      }, {West}
Colaizzo      , Cecilia        , {4 Nw 12th St 3849      ,   53717  Madison               }, {608-382-4541}, {608-302-3387}, {cecilia_colaizzo@colaizzo.com     }, {Süd}
Comnick       , Daniela        , {7 Flowers Rd 403       ,   8611   Trenton               }, {609-200-8577}, {609-398-2805}, {dcomnick@cox.net                  }, {Nordwest}
Delasancha    , Mona           , {38773 Gravois Ave      ,   82001  Cheyenne              }, {307-403-1488}, {            }, {mdelasancha@hotmail.com           }, {Ost}
Devreese      , Diane          , {1953 Telegraph Rd      ,   64504  Saint Joseph          }, {816-557-9673}, {816-329-5565}, {diane@cox.net                     }, {Ost}
Dewar         , Izetta         , {Jean Esq               ,   MD     2 W Scyene Rd 3       }, {            }, {410-473-1708}, {                                  }, {Ost}
Diestel       , Lonna          , {Thomas J Esq           ,   NC     1482 College Ave      }, {            }, {910-922-3672}, {                                  }, {Ost}
Eanes         , Sharika        , {75698 N Fiesta Blvd    ,   32806  Orlando               }, {407-312-1691}, {407-472-1332}, {sharika.eanes@aol.com             }, {Ost}
Farrow        , Arthur         , {Timothy L Esq          ,   NJ     28 S 7th St 2824      }, {            }, {201-238-5688}, {                                  }, {Nordost}
Gabisi        , Janey          , {Stephen F Esq          ,   WI     40 Cambridge Ave      }, {            }, {608-967-7194}, {                                  }, {Süd}
Galam         , Britt          , {2500 Pringle Rd Se 508 ,   19440  Hatfield              }, {215-888-3304}, {215-351-8523}, {britt@galam.org                   }, {Süd}
